t,L_1,L_2,L_3
4498.201035261154,18.33,18.75,18.75
4499.2025327682495,18.33,18.75,18.75
4500.203585147858,18.33,18.75,18.75
4501.206488609314,18.75,18.75,18.75
4502.207743883133,18.75,18.75,18.75
4503.209132909775,18.33,18.75,18.75
4504.210649490356,18.33,18.75,18.75
4505.21272611618,18.33,18.75,18.75
4506.21444106102,18.33,18.75,18.75
4507.2165677547455,18.33,18.75,18.75
4508.218051433563,18.33,18.75,18.75
4509.220566749573,18.33,18.75,18.75
4510.221852064133,18.33,18.75,18.75
4511.224985599518,18.33,18.75,18.75
4512.227061033249,18.33,18.75,18.75
4513.228702068329,18.33,18.75,18.75
4514.231125116348,18.33,18.75,18.75
4515.233232021332,18.33,18.75,18.75
4516.235429763794,19.17,19.17,19.17
4517.237921714783,19.17,19.17,19.17
4518.240443944931,19.17,13.33,19.17
4519.24250459671,19.17,13.33,19.17
4520.244909524918,19.17,13.33,19.17
4521.247435808182,19.17,13.33,19.17
4522.249297142029,19.17,13.33,19.17
4523.2504761219025,19.17,13.33,19.17
4524.252696990967,19.17,13.33,19.17
4525.253666400909,19.17,13.33,19.17
4526.2556047439575,19.17,13.33,19.17
4527.257558822632,19.17,13.33,19.17
4528.259759187698,19.58,13.33,19.58
4529.260219097137,19.58,13.75,19.58
4530.263016700745,19.58,13.75,19.58
4531.263857841492,19.58,13.75,19.58
4532.26656293869,19.58,13.75,19.58
4533.26736664772,19.58,13.75,19.58
4534.270297765732,13.33,13.75,19.58
4535.271419048309,13.33,13.75,19.58
4536.273373603821,13.33,13.75,19.58
4537.274400234222,20.0,20.0,20.0
4538.277025938034,20.0,20.0,20.0
4539.277890443802,20.0,20.0,20.0
4540.280349254608,20.0,20.0,20.0
4541.281125307083,20.0,20.0,20.0
4542.284007072449,20.0,20.0,20.0
4543.28525018692,20.0,20.0,20.0
4544.287289619446,20.0,20.0,20.0
4545.2882471084595,20.42,20.0,20.42
4546.290577411652,20.42,20.0,20.42
4547.292135000229,20.42,20.0,20.42
4548.294262647629,20.42,20.42,20.42
4549.295480489731,20.42,20.42,20.42
4550.297476768494,20.42,20.42,20.42
4551.29949593544,20.42,20.42,20.42
4552.301559209824,20.42,20.0,20.42
4553.304686307907,20.0,20.0,20.0
4554.306375026703,20.42,20.0,20.42
4555.308973073959,20.42,20.0,20.42
4556.3107035160065,20.0,20.0,20.0
4557.3137793540955,20.0,20.0,20.0
4558.315589904785,20.0,20.0,20.0
4559.317355155945,20.0,20.0,20.0
4560.320172786713,20.0,20.0,20.0
4561.322449922562,20.0,20.0,20.0
4562.323963403702,20.0,20.0,20.0
4563.326659440994,20.0,20.0,20.0
4564.327950716019,20.0,20.0,20.0
4565.330486774445,13.33,13.75,19.58
4566.331310749054,19.58,13.75,19.58
4567.333841085434,19.58,13.75,19.58
4568.334550142288,19.58,13.75,19.58
4569.337161540985,19.58,13.75,19.58
4570.338766336441,19.58,13.75,19.58
4571.34054517746,19.58,13.33,19.58
4572.342127084732,19.17,13.33,19.17
4573.34418964386,19.17,13.33,19.17
4574.345659732819,19.17,13.33,19.17
4575.347411394119,19.17,13.33,19.17
4576.349171161652,19.17,13.33,19.17
4577.350687503815,19.17,13.33,19.17
4578.352356672287,19.17,13.33,19.17
4579.353974819183,19.17,13.33,19.17
4580.355601549149,18.33,18.75,18.75
4581.357721090317,18.33,18.75,18.75
4582.359037637711,18.33,18.75,18.75
4583.361137866974,18.75,18.75,18.75
4584.362741231918,18.75,18.75,18.75
4585.3644433021545,18.75,18.75,18.75
4586.365807533264,18.75,18.75,18.75
4587.36865735054,18.75,18.33,18.75
4588.369343519211,18.33,18.33,18.33
4589.372235298157,18.33,18.33,18.33
4590.372904062271,18.33,18.33,18.33
4591.375311374664,18.33,18.33,18.33
4592.377393960953,18.33,18.33,18.33
4593.3799912929535,18.33,18.33,18.33
4594.382274150848,18.33,18.33,18.33
4595.3843631744385,18.33,18.33,18.33
4596.386243581772,18.33,18.33,18.33
4597.38853096962,16.67,17.08,17.92
4598.391063928604,16.67,17.08,17.92
4599.393118143082,16.67,17.08,17.92
4600.395085096359,17.92,17.08,17.92
4601.397473573685,17.92,17.08,17.92
4602.399167776108,17.92,17.08,17.92
4603.402050256729,17.92,17.08,17.92
4604.40420460701,17.92,17.08,17.92
4605.40549325943,17.92,17.08,17.92
4606.407896995544,17.92,17.08,17.92
4607.408855438232,17.92,17.08,17.92
4608.411633491516,17.92,17.08,17.92
4609.412562131882,17.92,17.08,17.92
